year,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,avg_wind_speed_kmh,peak_wind_gust_kmh
1880,,7.237644110275689,15.61431113370615,8601.2,,
1881,5.823830155979203,5.512693016007933,14.276331557922768,14102.8,,
1882,6.359181866477776,5.788490963521455,14.54329551315111,16116.6,,
1883,5.6423989737010904,4.878751807765046,12.944802958806275,15729.7,,
1884,4.881870320216664,4.324279505946935,12.042830586194077,16721.4,,
1885,4.349548140424052,4.210233062330624,12.28014300785371,16994.5,,
1886,5.091728609837102,4.56229273285568,12.195075041689828,17035.6,,
1887,6.2933390264731,4.3211529066927215,12.837155565198524,17531.2,,
1888,5.343648079957917,4.583931673422119,14.040072519503351,20119.2,,
1889,5.1688742576813835,4.746927536231884,14.559995552590616,20840.9,,
1890,5.65143700142061,3.4398014440433213,14.596467134919804,23421.6,,
1891,4.404050374404357,1.55209375,12.271109418634172,21844.7,,
1892,4.699429386590585,2.6078816159549985,14.033945419498833,23100.4,,
1893,4.746431492842536,2.091894723865878,14.123716699155295,25271.8,20.787087912087912,
1894,5.735212544185625,2.593961952026468,13.766055204637881,28400.4,20.29917808219178,
1895,5.1940129306527325,1.5967609200253219,13.065124005253805,29944.3,19.563287671232878,
1896,5.439940045847293,2.0704887714663145,12.81197226032617,29618.0,18.964754098360658,
1897,5.576251276813075,2.975483073881888,14.024000281116031,29804.7,18.874246575342468,
1898,5.241350139582099,2.576208444784104,13.93584002158225,29985.5,20.17945205479452,
1899,5.623064236826915,2.792727800910235,13.870263933547696,30918.4,20.356164383561644,
1900,5.1337357528494305,2.120982219920594,13.204985860076231,35137.7,19.081917808219178,
1901,5.04489522960321,2.2397384305835013,13.139551160982114,80420.6,18.747671232876712,
1902,4.438569455549902,1.949512670565302,12.75239465132385,87609.0,19.91260273972603,
1903,5.257215152191709,2.9558894044856925,13.580001044604618,83793.5,20.554520547945206,
1904,4.968694577700247,2.5456131605184447,13.414512085046637,79823.3,19.3775956284153,
1905,5.555440992057963,2.8222605631217648,13.310520461602632,88859.2,19.935342465753422,
1906,6.393065774804905,3.798984522725681,13.951896826422082,91622.6,19.415890410958905,
1907,4.773353916852158,2.632434879509681,12.817226565856174,85902.2,18.945479452054794,
1908,4.863178835683373,2.552504150525733,13.085821297024376,80795.4,18.368852459016395,
1909,5.677192354499248,2.8724004386866815,13.050277530613108,92097.0,17.828219178082193,
1910,5.565054643020745,3.0729755908562573,13.486910926980839,101935.9,18.64904109589041,
1911,5.098996088657106,2.900536994758674,13.627613783862998,83711.9,19.344109589041096,
1912,5.0075229615087995,2.963322675193179,12.852843008701871,94478.1,18.751092896174864,
1913,5.4544850047496265,3.2854052808322907,13.521128572002734,93972.2,19.036164383561644,
1914,6.07571649883811,3.4507114043591107,14.030175781250001,102301.5,18.315616438356162,
1915,5.850424273592183,3.0906071777420676,13.153915192035173,103363.8,17.432876712328767,
1916,5.122030065998533,2.8618306734857355,12.766725482584608,105654.9,19.027322404371585,
1917,5.260959282687465,2.336265612648221,12.588910175311765,93336.8,19.075616438356164,
1918,4.262315996074583,2.4730383147179413,12.061206794156076,94410.3,18.430447761194028,
1919,4.315869710096634,2.6742656215661857,11.97360860350106,93478.9,,
1920,5.342138423051978,3.979566508101148,13.406612784717119,95033.1,,
1921,6.601311940430812,4.677576429176716,14.593562692720784,93574.6,,
