year_month,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,avg_wind_speed_kmh,peak_wind_gust_kmh
1837-03-01,,-0.8258064516129031,5.325806451612903,0.0,,
1837-04-01,,1.4866666666666668,9.49,0.0,,
1837-05-01,,5.483870967741935,15.077419354838709,0.0,,
1837-06-01,,10.846666666666666,22.259999999999998,0.0,,
1837-07-01,,11.290322580645162,22.403225806451612,0.0,,
1837-08-01,,13.448387096774193,24.070967741935487,0.0,,
1837-09-01,,8.27,18.5,0.0,,
1837-10-01,,7.554838709677419,15.116129032258065,0.0,,
1837-11-01,,2.77,7.819999999999999,0.0,,
1837-12-01,,1.6483870967741936,6.770967741935484,0.0,,
1838-01-01,,-9.390322580645162,-2.541935483870968,0.0,,
1838-02-01,,-3.753571428571429,3.5749999999999997,0.0,,
1838-03-01,,2.0387096774193547,9.535483870967743,0.0,,
1838-04-01,,2.67,10.986666666666668,0.0,,
1838-05-01,,7.303225806451613,18.551612903225806,0.0,,
1838-06-01,,10.666666666666666,20.996666666666666,0.0,,
1838-07-01,,12.212903225806452,22.83225806451613,0.0,,
1838-08-01,,11.619354838709677,21.01290322580645,0.0,,
1838-09-01,,9.986666666666668,19.433333333333334,0.0,,
1838-10-01,,7.148387096774194,14.13225806451613,0.0,,
1838-11-01,,2.9,8.373333333333333,0.0,,
1838-12-01,,0.0741935483870968,4.458064516129032,0.0,,
1839-01-01,,-0.25806451612903225,4.693548387096774,0.0,,
1839-02-01,,-0.5857142857142857,6.985714285714286,0.0,,
1839-03-01,,1.2322580645161292,7.929032258064517,0.0,,
1839-04-01,,1.9866666666666668,10.236666666666668,0.0,,
1839-05-01,,6.451612903225806,17.67096774193548,0.0,,
1839-06-01,,12.476666666666667,22.94333333333333,0.0,,
1839-07-01,,12.30967741935484,23.177419354838708,0.0,,
1839-08-01,,10.73225806451613,21.4741935483871,0.0,,
1839-09-01,,10.639999999999999,19.653333333333332,0.0,,
1839-10-01,,7.329032258064516,14.529032258064515,0.0,,
1839-11-01,,4.706666666666666,10.653333333333334,0.0,,
1839-12-01,,2.4838709677419355,7.696774193548387,0.0,,
1840-01-01,,0.11612903225806455,6.335483870967742,0.0,,
1840-02-01,,-1.2999999999999998,5.582758620689655,0.0,,
1840-03-01,,-1.1516129032258065,6.329032258064516,0.0,,
1840-04-01,,4.486666666666666,16.186666666666664,0.0,,
1840-05-01,,8.448387096774193,17.929032258064513,0.0,,
1840-06-01,,10.843333333333334,21.416666666666668,0.0,,
1840-07-01,,11.074193548387097,20.46451612903226,0.0,,
1840-08-01,,11.696774193548388,23.093548387096774,0.0,,
1840-09-01,,9.533333333333333,17.936666666666667,0.0,,
1840-10-01,,5.029032258064516,12.393548387096773,0.0,,
1840-11-01,,4.223333333333334,10.356666666666666,0.0,,
1840-12-01,,-5.458064516129032,0.16129032258064513,0.0,,
1841-01-01,,-1.564516129032258,3.141935483870968,0.0,,
1841-02-01,,-2.875,3.332142857142857,0.0,,
1841-03-01,,4.183870967741935,13.05483870967742,0.0,,
1841-04-01,,5.153333333333333,14.103333333333333,0.0,,
1841-05-01,,10.738709677419354,21.64516129032258,0.0,,
1841-06-01,,9.566666666666666,18.526666666666664,0.0,,
1841-07-01,,10.025806451612903,19.229032258064517,0.0,,
1841-08-01,,11.170967741935485,22.032258064516128,0.0,,
1841-09-01,,11.496666666666666,21.503333333333334,0.0,,
1841-10-01,,7.390322580645161,13.751612903225807,0.0,,
1841-11-01,,2.76,8.676666666666668,0.0,,
1841-12-01,,1.932258064516129,6.435483870967742,0.0,,
1842-01-01,,-4.47741935483871,0.49354838709677423,0.0,,
1842-02-01,,0.6285714285714287,7.085714285714286,0.0,,
1842-03-01,,3.193548387096774,9.651612903225805,0.0,,
1842-04-01,,2.56,13.04,0.0,,
1842-05-01,,7.806451612903226,19.251612903225805,0.0,,
1842-06-01,,10.703333333333335,23.31,0.0,,
1842-07-01,,10.587096774193547,22.251612903225805,0.0,,
1842-08-01,,13.82258064516129,27.287096774193547,0.0,,
1842-09-01,,9.936666666666667,18.73,0.0,,
1842-10-01,,4.254838709677419,11.906451612903227,0.0,,
1842-11-01,,1.2133333333333334,6.833333333333333,0.0,,
1842-12-01,,1.5774193548387099,6.496774193548387,0.0,,
1843-01-01,,0.1806451612903226,4.987096774193549,0.0,,
1843-02-01,,-1.042857142857143,3.507142857142857,0.0,,
1843-03-01,,1.1935483870967742,10.3,0.0,,
1843-04-01,,4.069999999999999,13.953333333333335,0.0,,
1843-05-01,,6.993548387096775,17.31935483870968,0.0,,
1843-06-01,,9.186666666666667,19.15666666666667,0.0,,
1843-07-01,,11.038709677419355,21.641935483870967,0.0,,
1843-08-01,,12.345161290322581,23.574193548387097,0.0,,
1843-09-01,,9.889999999999999,20.6,0.0,,
1843-10-01,,6.235483870967743,13.5,0.0,,
1843-11-01,,3.3666666666666667,8.606666666666666,0.0,,
1843-12-01,,2.1225806451612903,5.809677419354839,0.0,,
1844-01-01,,-1.5129032258064516,3.0580645161290323,0.0,,
1844-02-01,,-2.206896551724138,3.8034482758620687,0.0,,
1844-03-01,,0.8258064516129032,8.348387096774195,0.0,,
1844-04-01,,4.993333333333334,16.646666666666665,0.0,,
1844-05-01,,6.72258064516129,16.761290322580646,0.0,,
1844-06-01,,9.8,21.586666666666666,0.0,,
1844-07-01,,10.370967741935484,21.229032258064517,0.0,,
1844-08-01,,9.919354838709678,19.229032258064517,0.0,,
1844-09-01,,9.379999999999999,18.703333333333333,0.0,,
1844-10-01,,5.735483870967742,13.170967741935485,0.0,,
1844-11-01,,4.026666666666666,7.930000000000001,0.0,,
1844-12-01,,-4.683870967741935,0.39354838709677425,0.0,,
1845-01-01,,-0.3258064516129032,3.429032258064516,0.0,,
1845-02-01,,-6.564285714285715,0.003571428571428552,0.0,,
1845-03-01,,-4.464516129032258,2.6225806451612903,0.0,,
1845-04-01,,4.173333333333334,14.486666666666668,0.0,,
1845-05-01,,5.809677419354839,14.338709677419354,0.0,,
1845-06-01,,10.81,22.1,0.0,,
1845-07-01,,11.609677419354838,21.703225806451613,0.0,,
1845-08-01,,10.212903225806452,19.33225806451613,0.0,,
1845-09-01,,7.73,17.1,0.0,,
1845-10-01,,6.374193548387097,13.938709677419356,0.0,,
1845-11-01,,4.1,9.683333333333334,0.0,,
1845-12-01,,1.8870967741935485,6.580645161290323,0.0,,
1846-01-01,,2.519354838709677,6.751612903225807,0.0,,
1846-02-01,,2.75,8.52142857142857,0.0,,
1846-03-01,,2.8806451612903223,10.46774193548387,0.0,,
1846-04-01,,4.993333333333334,13.446666666666665,0.0,,
1846-05-01,,7.158064516129032,18.125806451612902,0.0,,
1846-06-01,,12.216666666666667,25.396666666666665,0.0,,
1846-07-01,,12.929032258064517,25.177419354838708,0.0,,
1846-08-01,,14.003225806451614,24.73225806451613,0.0,,
1846-09-01,,10.84,21.12,0.0,,
1846-10-01,,7.458064516129032,14.038709677419355,0.0,,
1846-11-01,,2.1733333333333333,7.260000000000001,0.0,,
1846-12-01,,-4.293548387096774,-0.3387096774193548,0.0,,
1847-01-01,,-3.1129032258064515,1.7322580645161292,0.0,,
1847-02-01,,-1.792857142857143,3.442857142857143,0.0,,
1847-03-01,,0.20967741935483877,8.612903225806452,0.0,,
1847-04-01,,1.8033333333333335,10.353333333333333,0.0,,
1847-05-01,,8.596774193548388,20.52258064516129,0.0,,
1847-06-01,,9.106666666666666,19.509999999999998,0.0,,
1847-07-01,,12.87741935483871,25.458064516129035,0.0,,
1847-08-01,,12.819354838709677,22.96451612903226,0.0,,
1847-09-01,,7.953333333333333,16.383333333333333,0.0,,
1847-10-01,,6.087096774193548,14.396774193548387,0.0,,
1847-11-01,,4.216666666666667,9.576666666666666,0.0,,
1847-12-01,,-0.7258064516129032,3.4935483870967743,0.0,,
1848-01-01,,-5.735483870967743,-0.27419354838709675,0.0,,
1848-02-01,,2.8344827586206898,7.6482758620689655,0.0,,
1848-03-01,,3.2516129032258063,10.109677419354838,0.0,,
1848-04-01,,6.056666666666667,14.903333333333334,0.0,,
1848-05-01,,7.403225806451613,20.529032258064515,0.0,,
1848-06-01,,11.476666666666667,21.85666666666667,0.0,,
1848-07-01,,11.52258064516129,23.248387096774195,0.0,,
1848-08-01,,11.435483870967742,20.67096774193548,0.0,,
1848-09-01,,8.706666666666667,18.65666666666667,0.0,,
1848-10-01,,7.551612903225807,15.167741935483871,0.0,,
1848-11-01,,3.0966666666666667,8.16,0.0,,
1848-12-01,,2.0387096774193547,6.680645161290323,0.0,,
1849-01-01,,-0.10645161290322583,5.119354838709677,0.0,,
1849-02-01,,2.2607142857142857,8.032142857142857,0.0,,
1849-03-01,,1.167741935483871,8.119354838709677,0.0,,
1849-04-01,,3.82,12.643333333333334,0.0,,
1849-05-01,,8.583870967741936,19.496774193548386,0.0,,
1849-06-01,,10.643333333333334,21.936666666666667,0.0,,
1849-07-01,,10.780645161290321,23.16774193548387,0.0,,
1849-08-01,,11.33548387096774,21.506451612903227,0.0,,
1849-09-01,,9.493333333333334,19.866666666666667,0.0,,
1849-10-01,,6.716129032258064,13.683870967741935,0.0,,
1849-11-01,,1.95,7.8933333333333335,0.0,,
1849-12-01,,-0.4709677419354839,4.441935483870967,0.0,,
1850-01-01,,-5.341935483870968,0.07741935483870958,0.0,,
1850-02-01,,2.3642857142857143,8.392857142857142,0.0,,
1850-03-01,,-0.054838709677419356,7.080645161290323,0.0,,
1850-04-01,,5.84,14.733333333333333,0.0,,
1850-05-01,,6.203225806451614,17.5258064516129,0.0,,
1850-06-01,,10.236666666666668,22.746666666666666,0.0,,
1850-07-01,,11.438709677419356,22.996774193548386,0.0,,
1850-08-01,,11.67741935483871,20.86774193548387,0.0,,
1850-09-01,,8.176666666666668,17.67,0.0,,
1850-10-01,,4.338709677419355,11.490322580645161,0.0,,
1850-11-01,,4.666666666666667,9.913333333333332,0.0,,
1850-12-01,,1.1193548387096774,5.66774193548387,1.1,,
1851-01-01,,1.9161290322580644,6.958064516129032,40.1,,
1851-02-01,,-0.21071428571428572,6.3,33.4,,
1851-03-01,,2.6322580645161286,9.251612903225807,81.6,,
1851-04-01,,4.873333333333333,13.393333333333334,87.3,,
1851-05-01,,5.941935483870967,16.083870967741937,67.3,,
1851-06-01,,10.736666666666668,22.316666666666666,66.8,,
1851-07-01,,11.748387096774193,22.493548387096773,75.9,,
1851-08-01,,12.422580645161291,23.03548387096774,79.9,,
1851-09-01,,8.923333333333334,17.526666666666664,56.3,,
1851-10-01,,7.919354838709677,14.435483870967742,98.0,,
1851-11-01,,0.5766666666666667,5.319999999999999,113.9,,
1851-12-01,,0.803225806451613,5.270967741935484,27.2,,
1852-01-01,,2.07741935483871,7.225806451612903,94.9,,
1852-02-01,,0.8896551724137931,5.9655172413793105,78.9,,
1852-03-01,,-0.0516129032258065,8.203225806451613,20.4,,
1852-04-01,,1.84,12.096666666666666,15.6,,
1852-05-01,,7.65483870967742,18.238709677419354,37.5,,
1852-06-01,,10.270000000000001,20.766666666666666,35.4,,
1852-07-01,,14.496774193548386,27.76451612903226,6.6,,
1852-08-01,,13.525806451612903,23.429032258064513,128.8,,
1852-09-01,,10.47,19.0,159.0,,
1852-10-01,,5.312903225806451,12.941935483870967,180.1,,
1852-11-01,,7.203333333333333,12.023333333333333,88.3,,
1852-12-01,,5.183870967741935,9.52258064516129,69.5,,
1853-01-01,,3.361290322580645,6.980645161290322,73.4,,
1853-02-01,,-2.3857142857142857,2.1785714285714284,6.5,,
1853-03-01,,-2.1580645161290324,5.619354838709677,57.0,,
1853-04-01,,4.303333333333333,11.943333333333333,88.3,,
1853-05-01,,7.354838709677419,18.0,11.4,,
1853-06-01,,11.43,22.18,83.6,,
1853-07-01,,13.2,23.312903225806455,94.2,,
1853-08-01,,12.258064516129032,22.241935483870968,108.89999999999999,,
1853-09-01,,10.629999999999999,18.766666666666666,60.5,,
1853-10-01,,7.648387096774194,15.287096774193548,106.6,,
1853-11-01,,1.4266666666666665,6.903333333333333,5.0,,
1853-12-01,,-5.661290322580645,-0.10967741935483873,2.9000000000000004,,
1854-01-01,,0.3032258064516129,5.241935483870968,21.4,,
1854-02-01,,-0.0714285714285714,5.185714285714285,45.4,,
1854-03-01,,2.3419354838709676,10.638709677419355,9.9,,
1854-04-01,,4.366666666666666,15.336666666666668,29.2,,
1854-05-01,,7.393548387096774,17.061290322580643,53.1,,
1854-06-01,,10.133333333333333,19.57,75.6,,
1854-07-01,,12.203225806451613,22.822580645161292,19.0,,
